order_id,product_id,quantity,unit_price,revenue,product_name,category,cost,selling_price,total_cost,profit,profit_margin,customer_id,order_date,status,customer_name,city,country,month
18,5169,7,410.66,2874.6200000000003,Skin Cream Max 5169,Beauty,315.24,458.33,2206.6800000000003,667.94,23.235766814396335,4902,2025-05-13,Completed,Maryam Malik,Hyderabad,Pakistan,2025-05
19,9329,2,1060.55,2121.1,Headphones Premium 9329,Electronics,1007.38,1193.1,2014.76,106.33999999999992,5.01343642449672,3831,2025-10-19,Pending,Maryam Sheikh,London,UK,2025-10
20,3377,6,1324.37,7946.219999999999,Microwave Ultra 3377,Home,1330.42,1500.19,7982.52,-36.30000000000109,-0.4568209790315533,5139,2024-09-04,Completed,Fahad Shah,Doha,Qatar,2024-09
21,5497,1,1591.0,1591.0,Sneakers Max 5497,Fashion,1231.87,1698.43,1231.87,359.1300000000001,22.572595851665625,9679,2024-11-06,Completed,Fatima Siddiqui,Islamabad,Pakistan,2024-11
22,9095,5,141.48,707.4,Hair Dryer Basic 9095,Beauty,130.73,150.1,653.65,53.75,7.598247102063896,529,2024-09-15,Completed,Ayesha Buriro,New York,USA,2024-09
23,968,4,1252.15,5008.6,Fan Plus 968,Home,897.18,1301.42,3588.72,1419.8800000000006,28.34883999520825,3575,2024-03-10,Pending,Bilal Malik,Sukkur,Pakistan,2024-03
24,5712,7,1191.3,8339.1,Backpack Basic 5712,Fashion,986.76,1354.17,6907.32,1431.7800000000007,17.169478720725266,1365,2022-02-09,Completed,Sana Siddiqui,Peshawar,Pakistan,2022-02
25,1392,2,153.54,307.08,Coffee Maker Plus 1392,Home,114.87,166.72,229.74,77.33999999999997,25.18561938257131,7930,2022-05-18,Completed,Usman Memon,New York,USA,2022-05
26,8511,1,1736.51,1736.51,Data Science Book Max 8511,Books,1317.0,1848.56,1317.0,419.51,24.158225406130686,5373,2024-02-08,Completed,Danish Khan,Sukkur,Pakistan,2024-02
27,4979,6,1440.63,8643.78,Cricket Bat Ultra 4979,Sports,1159.18,1591.9,6955.08,1688.7000000000007,19.536591630050747,1242,2023-04-08,Completed,Hussain Malik,Peshawar,Pakistan,2023-04
28,5588,3,513.71,1541.13,Watch Plus 5588,Fashion,433.15,581.61,1299.4499999999998,241.6800000000003,15.68199957174283,7965,2026-04-10,Shipped,Fatima Ahmed,Lahore,Pakistan,2026-04
29,249,6,1102.68,6616.08,Shampoo Premium 249,Beauty,809.22,1279.65,4855.32,1760.7600000000002,26.613342039394933,1229,2026-07-27,Completed,Danish Iqbal,Peshawar,Pakistan,2026-07
30,307,2,1533.79,3067.58,Data Science Book Ultra 307,Books,1274.9,1720.01,2549.8,517.7799999999997,16.879103397466398,7720,2024-02-22,Pending,Fatima Siddiqui,New York,USA,2024-02
31,7685,4,75.7,302.8,Business Book Pro 7685,Books,60.46,81.55,241.84,60.96000000000001,20.13210039630119,9990,2025-03-26,Completed,Sana Qureshi,London,UK,2025-03
32,9605,4,1165.46,4661.84,Yoga Mat Max 9605,Sports,946.27,1331.55,3785.08,876.7600000000002,18.807166269112628,5123,2024-09-10,Completed,Hassan Siddiqui,Peshawar,Pakistan,2024-09
33,3077,4,640.28,2561.12,Business Book Ultra 3077,Books,438.52,652.42,1754.08,807.04,31.511213843943274,6484,2023-02-27,Completed,Maham Buriro,Hyderabad,Pakistan,2023-02
34,6026,5,254.47,1272.35,Headphones Pro 6026,Electronics,230.98,266.17,1154.8999999999999,117.45000000000005,9.230950603214529,237,2023-10-01,Returned,Ayesha Sheikh,Hyderabad,Pakistan,2023-10
35,314,4,808.22,3232.88,Face Wash Basic 314,Beauty,689.47,934.05,2757.88,475.0,14.692781668357624,6649,2023-10-14,Shipped,Imran Chaudhry,Rawalpindi,Pakistan,2023-10
36,1122,3,354.5,1063.5,Blender Pro 1122,Home,304.91,402.66,914.73,148.76999999999998,13.988716502115652,1513,2022-06-27,Shipped,Omar Hussain,Quetta,Pakistan,2022-06
37,6487,2,754.15,1508.3,Smartphone Max 6487,Electronics,754.13,879.24,1508.26,0.03999999999996362,0.002651992309219891,4260,2022-02-01,Completed,Imran Malik,Toronto,Canada,2022-02
38,2407,2,717.42,1434.84,Microwave Plus 2407,Home,560.0,733.27,1120.0,314.8399999999999,21.942516238744386,5143,2023-07-03,Completed,Sana Malik,Dubai,UAE,2023-07
39,6057,5,536.92,2684.6,Air Conditioner Ultra 6057,Home,438.02,606.86,2190.1,494.5,18.419876331669524,7612,2026-03-09,Shipped,Ahmed Buriro,Karachi,Pakistan,2026-03
40,7190,7,340.17,2381.19,Skin Cream Plus 7190,Beauty,248.33,341.85,1738.3100000000002,642.8799999999999,26.998265573095797,7839,2022-05-25,Completed,Hamza Buriro,Karachi,Pakistan,2022-05
41,1266,5,1165.0,5825.0,Programming Book Basic 1266,Books,710.53,1169.13,3552.6499999999996,2272.3500000000004,39.01030042918456,9282,2024-05-31,Completed,Usman Iqbal,Sukkur,Pakistan,2024-05
42,6799,2,594.36,1188.72,Jeans Ultra 6799,Fashion,412.53,670.35,825.06,363.6600000000001,30.5925701594993,7530,2024-09-07,Completed,Imran Ahmed,Sukkur,Pakistan,2024-09
43,1813,2,2082.27,4164.54,Programming Book Ultra 1813,Books,1299.39,2105.84,2598.78,1565.7599999999998,37.597429728133235,821,2025-02-02,Shipped,Sara Khan,London,UK,2025-02
44,4332,3,1542.92,4628.76,Fan Basic 4332,Home,1241.76,1708.81,3725.2799999999997,903.4800000000005,19.518834417857057,6841,2026-07-22,Completed,Sara Memon,Sukkur,Pakistan,2026-07
45,7435,3,1714.7,5144.1,Hair Dryer Ultra 7435,Beauty,1392.26,1905.48,4176.78,967.3200000000006,18.80445558989912,1725,2023-10-24,Completed,Maryam Sheikh,New York,USA,2023-10
46,4667,2,844.25,1688.5,Laptop Basic 4667,Electronics,598.21,855.92,1196.42,492.0799999999999,29.14302635475273,9473,2023-09-07,Pending,Hussain Khan,Lahore,Pakistan,2023-09
47,1511,4,233.84,935.36,Jacket Basic 1511,Fashion,202.32,249.01,809.28,126.08000000000004,13.479302086897027,8661,2024-05-12,Completed,Hamza Malik,Faisalabad,Pakistan,2024-05
48,7432,4,315.23,1260.92,Webcam Basic 7432,Electronics,227.37,330.86,909.48,351.44000000000005,27.871712717698195,3094,2025-12-25,Completed,Omar Iqbal,Quetta,Pakistan,2025-12
49,65,7,799.71,5597.97,Tablet Ultra 65,Electronics,659.66,876.6,4617.62,980.3500000000004,17.51259831688988,792,2024-09-20,Completed,Zainab Siddiqui,Faisalabad,Pakistan,2024-09
50,9847,6,1293.6,7761.599999999999,Dumbbells Ultra 9847,Sports,943.58,1393.45,5661.4800000000005,2100.119999999999,27.05782312925169,9045,2022-03-14,Cancelled,Ali Malik,Quetta,Pakistan,2022-03
51,9998,2,238.82,477.64,Mouse Pro 9998,Electronics,156.5,247.2,313.0,164.64,34.469474918348546,3592,2024-01-30,Completed,Ahmed Malik,London,UK,2024-01
52,8647,5,499.8,2499.0,Data Science Book Premium 8647,Books,446.84,570.82,2234.2,264.8000000000002,10.596238495398167,8507,2024-05-05,Pending,Bilal Raza,Quetta,Pakistan,2024-05
53,2902,1,1218.7,1218.7,Coffee Maker Ultra 2902,Home,748.76,1220.97,748.76,469.94000000000005,38.56076146713712,833,2026-01-30,Completed,Zainab Qureshi,Doha,Qatar,2026-01
54,411,7,562.55,3937.8499999999995,Football Basic 411,Sports,387.16,579.9,2710.1200000000003,1227.729999999999,31.177673095724806,2536,2025-01-13,Completed,Imran Raza,Dubai,UAE,2025-01
55,8911,1,60.42,60.42,Blender Basic 8911,Home,43.19,67.87,43.19,17.230000000000004,28.517047335319432,4080,2025-02-24,Cancelled,Imran Siddiqui,Quetta,Pakistan,2025-02
56,7042,7,1297.35,9081.449999999999,Coffee Maker Pro 7042,Home,1234.19,1358.47,8639.33,442.119999999999,4.868385555170144,1277,2023-06-25,Pending,Usman Ahmed,New York,USA,2023-06
57,4141,2,724.94,1449.88,Air Purifier Premium 4141,Home,672.05,850.9,1344.1,105.7800000000002,7.295776202168469,4472,2025-05-16,Pending,Imran Malik,Toronto,Canada,2025-05
58,2320,7,846.93,5928.509999999999,Programming Book Basic 2320,Books,732.67,879.78,5128.69,799.8199999999997,13.491079546125414,9244,2022-06-16,Completed,Maham Shah,Peshawar,Pakistan,2022-06
59,9628,5,1790.15,8950.75,Vacuum Cleaner Premium 9628,Home,1170.57,1846.26,5852.849999999999,3097.9000000000005,34.610507499371565,1802,2022-11-28,Shipped,Hussain Hussain,Islamabad,Pakistan,2022-11
60,3989,4,860.67,3442.68,Football Plus 3989,Sports,879.83,988.14,3519.32,-76.64000000000033,-2.226172632948759,4199,2023-01-05,Pending,Hira Ahmed,Faisalabad,Pakistan,2023-01
61,4299,1,789.76,789.76,Face Wash Plus 4299,Beauty,593.67,881.65,593.67,196.09000000000003,24.829061993517023,817,2024-03-04,Completed,Ahmed Chaudhry,Doha,Qatar,2024-03
62,7950,6,1339.28,8035.68,Air Conditioner Pro 7950,Home,1021.41,1413.74,6128.46,1907.2200000000003,23.73439460008363,6581,2022-04-29,Completed,Omar Mirza,Quetta,Pakistan,2022-04
63,7494,1,811.16,811.16,Programming Book Basic 7494,Books,591.78,848.47,591.78,219.38,27.045219192267865,4174,2024-05-28,Completed,Bilal Malik,Sukkur,Pakistan,2024-05
64,3993,4,1230.59,4922.36,Headphones Pro 3993,Electronics,1265.53,1430.46,5062.12,-139.76000000000022,-2.8392884713836497,5098,2026-02-13,Shipped,Imran Hussain,Lahore,Pakistan,2026-02
65,9657,7,689.11,4823.77,Shampoo Basic 9657,Beauty,593.56,753.96,4154.92,668.8500000000004,13.865710844422521,5145,2023-11-04,Completed,Bilal Malik,Doha,Qatar,2023-11
66,4657,6,867.56,5205.36,Data Science Book Max 4657,Books,589.71,940.95,3538.26,1667.0999999999995,32.02660334731891,6577,2022-01-08,Completed,Hussain Siddiqui,Doha,Qatar,2022-01
67,2824,1,93.25,93.25,Novel Max 2824,Books,72.28,97.92,72.28,20.97,22.48793565683646,7371,2023-04-11,Shipped,Fatima Malik,Doha,Qatar,2023-04
68,1953,2,1680.0,3360.0,Jacket Ultra 1953,Fashion,1155.43,1861.54,2310.86,1049.1399999999999,31.224404761904758,9686,2022-04-28,Completed,Imran Khan,Multan,Pakistan,2022-04
69,298,3,1669.73,5009.1900000000005,Air Conditioner Plus 298,Home,1428.62,1847.14,4285.86,723.3300000000008,14.44005917124327,7260,2024-12-14,Completed,Omar Khan,Faisalabad,Pakistan,2024-12
70,794,6,1328.98,7973.88,Yoga Mat Plus 794,Sports,1122.33,1505.81,6733.98,1239.9000000000005,15.54951918012311,8455,2025-09-09,Returned,Zainab Ahmed,London,UK,2025-09
71,4487,3,429.3,1287.9,Running Shoes Ultra 4487,Sports,353.8,435.21,1061.4,226.5,17.586769159096203,700,2023-05-04,Completed,Ali Malik,New York,USA,2023-05
72,9795,5,1557.56,7787.799999999999,Skin Cream Basic 9795,Beauty,1118.15,1802.27,5590.75,2197.0499999999993,28.21143326741826,1222,2023-05-23,Completed,Ali Shah,Rawalpindi,Pakistan,2023-05
73,7613,6,1563.33,9379.98,Coffee Maker Basic 7613,Home,1156.01,1693.01,6936.0599999999995,2443.92,26.054639775351333,4380,2023-06-30,Completed,Usman Khan,Lahore,Pakistan,2023-06
74,1808,5,535.69,2678.4500000000003,Business Book Plus 1808,Books,417.76,614.72,2088.8,589.6500000000001,22.01459799510911,1390,2023-09-10,Completed,Omar Khan,London,UK,2023-09
75,5641,7,1036.18,7253.26,Shampoo Max 5641,Beauty,1060.49,1212.58,7423.43,-170.17000000000007,-2.3461174699376564,8438,2025-03-25,Completed,Omar Buriro,London,UK,2025-03
76,3989,7,942.89,6600.23,Football Plus 3989,Sports,879.83,988.14,6158.81,441.41999999999916,6.68794875330101,8584,2023-06-04,Completed,Hamza Khan,Faisalabad,Pakistan,2023-06
77,8353,6,538.12,3228.7200000000003,Programming Book Max 8353,Books,505.14,615.1,3030.84,197.8800000000001,6.1287445179513895,5970,2023-10-11,Shipped,Maryam Buriro,Multan,Pakistan,2023-10
78,2544,2,229.68,459.36,Coffee Maker Premium 2544,Home,172.76,245.03,345.52,113.84000000000003,24.782305816788583,4871,2026-02-17,Completed,Hamza Siddiqui,Lahore,Pakistan,2026-02
79,2668,4,1795.04,7180.16,T-Shirt Plus 2668,Fashion,1284.37,1902.14,5137.48,2042.6800000000003,28.448948212853196,8549,2025-07-16,Pending,Imran Buriro,Rawalpindi,Pakistan,2025-07
80,6893,6,287.28,1723.6799999999998,Marketing Book Plus 6893,Books,224.47,288.32,1346.82,376.8599999999999,21.863686995265937,5680,2026-04-23,Cancelled,Omar Qureshi,Doha,Qatar,2026-04
81,680,4,280.97,1123.88,Fan Max 680,Home,218.98,307.19,875.92,247.96000000000015,22.062853685446857,9509,2023-08-29,Returned,Fatima Memon,Multan,Pakistan,2023-08
82,2810,6,85.72,514.3199999999999,Yoga Mat Ultra 2810,Sports,89.55,99.52,537.3,-22.980000000000018,-4.4680354643023845,8057,2026-04-23,Completed,Ali Raza,Peshawar,Pakistan,2026-04
83,2210,4,1682.64,6730.56,Shampoo Pro 2210,Beauty,1124.99,1830.86,4499.96,2230.6000000000004,33.14137308039747,3343,2023-05-21,Completed,Omar Ahmed,Islamabad,Pakistan,2023-05
84,4263,7,1648.97,11542.79,Cricket Bat Plus 4263,Sports,1168.52,1895.25,8179.639999999999,3363.1500000000015,29.136369976409526,6468,2023-06-05,Shipped,Fahad Buriro,Sukkur,Pakistan,2023-06
85,2288,7,1403.73,9826.11,Novel Plus 2288,Books,1312.95,1513.06,9190.65,635.460000000001,6.467055630356275,1330,2026-06-03,Returned,Hira Ahmed,Rawalpindi,Pakistan,2026-06
86,8320,3,461.03,1383.09,Air Conditioner Basic 8320,Home,395.09,500.08,1185.27,197.81999999999994,14.302756870485647,468,2022-12-06,Shipped,Ayesha Iqbal,Hyderabad,Pakistan,2022-12
87,3353,7,1189.39,8325.730000000001,Programming Book Max 3353,Books,836.32,1295.4,5854.240000000001,2471.4900000000007,29.684964561666067,840,2025-10-18,Completed,Imran Sheikh,Dubai,UAE,2025-10
88,3568,3,1906.99,5720.97,Microwave Plus 3568,Home,1444.76,1968.34,4334.28,1386.6900000000005,24.23872175522683,9865,2025-11-03,Returned,Sara Khan,Sukkur,Pakistan,2025-11
89,3118,6,806.64,4839.84,Sneakers Pro 3118,Fashion,722.88,890.39,4337.28,502.5600000000004,10.383814340969957,1265,2026-04-18,Pending,Ahmed Raza,London,UK,2026-04
90,4247,5,1801.82,9009.1,Keyboard Plus 4247,Electronics,1187.93,1869.04,5939.650000000001,3069.45,34.070550887436035,2062,2025-12-09,Completed,Saad Shah,Multan,Pakistan,2025-12
91,2343,7,1363.64,9545.480000000001,Tablet Basic 2343,Electronics,1186.13,1409.74,8302.91,1242.5700000000015,13.017365287025914,6825,2025-10-27,Shipped,Maham Raza,Islamabad,Pakistan,2025-10
92,7332,7,1818.16,12727.12,Tablet Max 7332,Electronics,1282.63,2009.68,8978.41,3748.710000000001,29.454503454041454,1736,2023-08-24,Completed,Usman Buriro,Karachi,Pakistan,2023-08
93,1219,4,168.88,675.52,Skin Cream Basic 1219,Beauty,140.12,188.21,560.48,115.03999999999996,17.029843675982942,1196,2024-07-31,Completed,Fatima Ahmed,Peshawar,Pakistan,2024-07
94,863,1,367.27,367.27,Keyboard Basic 863,Electronics,328.74,430.58,328.74,38.52999999999997,10.490919487025886,6958,2024-09-06,Shipped,Saad Raza,London,UK,2024-09
95,5219,4,1607.98,6431.92,Yoga Mat Ultra 5219,Sports,1277.89,1663.3,5111.56,1320.3599999999997,20.528240401000005,9525,2023-05-11,Shipped,Saad Ali,Islamabad,Pakistan,2023-05
96,4856,5,1808.69,9043.45,Football Ultra 4856,Sports,1207.52,1883.46,6037.6,3005.8500000000004,33.23786829141533,1288,2023-10-24,Shipped,Maham Malik,Doha,Qatar,2023-10
97,7114,6,1354.88,8129.280000000001,Novel Premium 7114,Books,1236.2,1552.62,7417.200000000001,712.0799999999999,8.759447331128953,6590,2025-12-12,Completed,Hamza Sheikh,Karachi,Pakistan,2025-12
98,955,5,1340.94,6704.700000000001,Hair Dryer Max 955,Beauty,1071.25,1535.08,5356.25,1348.4500000000007,20.11201097737409,5347,2022-01-26,Completed,Hira Memon,Hyderabad,Pakistan,2022-01
99,9084,3,167.4,502.20000000000005,Laptop Ultra 9084,Electronics,111.61,173.44,334.83,167.37000000000006,33.327359617682205,9556,2022-05-12,Shipped,Ahmed Khan,Rawalpindi,Pakistan,2022-05
100,5847,6,1457.59,8745.539999999999,Running Shoes Premium 5847,Sports,1242.92,1676.91,7457.52,1288.0199999999986,14.727735508613518,9541,2023-11-27,Shipped,Hussain Iqbal,Dubai,UAE,2023-11
101,2758,5,113.68,568.4000000000001,Sneakers Plus 2758,Fashion,100.66,117.26,503.29999999999995,65.10000000000014,11.453201970443372,5636,2025-07-31,Shipped,Ayesha Memon,New York,USA,2025-07
102,7644,6,834.98,5009.88,Blender Plus 7644,Home,797.66,945.43,4785.96,223.92000000000007,4.469568133368465,8852,2026-02-25,Completed,Hussain Ahmed,Faisalabad,Pakistan,2026-02
103,6606,3,1502.7,4508.1,Cricket Bat Plus 6606,Sports,1114.15,1629.14,3342.4500000000003,1165.65,25.85679110933653,2024,2025-03-04,Completed,Fatima Shah,New York,USA,2025-03
104,9095,3,131.85,395.54999999999995,Hair Dryer Basic 9095,Beauty,130.73,150.1,392.18999999999994,3.3600000000000136,0.8494501327265869,5911,2025-12-24,Completed,Sara Iqbal,New York,USA,2025-12
105,5276,7,475.43,3328.01,Tablet Basic 5276,Electronics,385.63,535.24,2699.41,628.6000000000004,18.888164398544486,1682,2022-09-09,Completed,Ali Mirza,London,UK,2022-09
106,6907,5,1457.69,7288.450000000001,Business Book Max 6907,Books,1087.57,1556.05,5437.849999999999,1850.6000000000013,25.39085813856171,250,2022-06-25,Pending,Imran Siddiqui,Islamabad,Pakistan,2022-06
107,8839,3,1684.84,5054.5199999999995,Sneakers Pro 8839,Fashion,1414.59,1722.98,4243.7699999999995,810.75,16.0400987630873,7679,2024-05-02,Completed,Usman Chaudhry,Lahore,Pakistan,2024-05
108,8260,3,1414.61,4243.83,Watch Basic 8260,Fashion,1016.3,1506.91,3048.8999999999996,1194.9300000000003,28.15687716048947,5652,2023-06-04,Completed,Hassan Siddiqui,New York,USA,2023-06
109,6951,5,1859.23,9296.15,Microwave Ultra 6951,Home,1362.41,2108.84,6812.05,2484.0999999999995,26.721814944896536,2,2026-01-29,Pending,Hira Siddiqui,Dubai,UAE,2026-01
110,3799,4,1565.64,6262.56,Headphones Basic 3799,Electronics,1404.11,1678.09,5616.44,646.1200000000008,10.317186581845137,8072,2022-05-06,Completed,Hussain Raza,Dubai,UAE,2022-05
111,1830,1,867.31,867.31,Backpack Premium 1830,Fashion,631.68,989.75,631.68,235.63,27.167909974518917,8753,2023-09-11,Shipped,Danish Buriro,New York,USA,2023-09
112,321,1,1339.18,1339.18,Monitor Pro 321,Electronics,1082.01,1443.97,1082.01,257.1700000000001,19.20354246628534,3982,2023-05-20,Completed,Sana Siddiqui,Toronto,Canada,2023-05
113,2664,5,1496.73,7483.65,Jeans Plus 2664,Fashion,1246.4,1694.68,6232.0,1251.6499999999996,16.725127444495662,296,2024-10-01,Completed,Danish Chaudhry,Karachi,Pakistan,2024-10
114,4703,2,578.62,1157.24,Fan Plus 4703,Home,512.28,598.14,1024.56,132.68000000000006,11.46521032802185,2955,2023-05-20,Completed,Maham Sheikh,Doha,Qatar,2023-05
115,6245,6,1688.42,10130.52,Novel Max 6245,Books,1281.24,1726.45,7687.4400000000005,2443.08,24.116037478826357,6045,2026-05-13,Completed,Maham Sheikh,New York,USA,2026-05
116,1916,3,1763.74,5291.22,Sneakers Plus 1916,Fashion,1269.61,1869.06,3808.83,1482.3900000000003,28.01603410933585,537,2022-04-01,Returned,Maham Sheikh,Peshawar,Pakistan,2022-04
117,7512,6,58.56,351.36,Blender Premium 7512,Home,40.02,64.41,240.12,111.24000000000001,31.65983606557377,3889,2022-05-03,Shipped,Danish Chaudhry,Hyderabad,Pakistan,2022-05
118,8676,6,545.97,3275.82,T-Shirt Ultra 8676,Fashion,387.65,559.55,2325.8999999999996,949.9200000000005,28.997930289210043,2199,2026-02-25,Completed,Bilal Shah,Toronto,Canada,2026-02
119,787,7,300.65,2104.5499999999997,T-Shirt Pro 787,Fashion,249.54,332.39,1746.78,357.76999999999975,16.999833693663717,6116,2024-06-10,Completed,Ahmed Buriro,Quetta,Pakistan,2024-06
120,8585,5,1528.77,7643.85,Dumbbells Pro 8585,Sports,1078.94,1693.37,5394.700000000001,2249.1499999999996,29.42430843096083,2069,2025-11-23,Completed,Saad Shah,Lahore,Pakistan,2025-11
121,6464,4,512.74,2050.96,T-Shirt Ultra 6464,Fashion,364.04,590.22,1456.16,594.8,29.001053165346956,7822,2024-02-18,Completed,Maryam Raza,Dubai,UAE,2024-02
122,713,5,381.02,1905.1,Tennis Racket Pro 713,Sports,254.1,388.7,1270.5,634.5999999999999,33.31058737074169,3034,2026-04-22,Completed,Omar Shah,Doha,Qatar,2026-04
123,1705,5,746.82,3734.1000000000004,Novel Plus 1705,Books,531.43,857.63,2657.1499999999996,1076.9500000000007,28.8409523044375,1120,2024-03-14,Completed,Fatima Chaudhry,New York,USA,2024-03
124,7477,7,1328.06,9296.42,Laptop Plus 7477,Electronics,933.46,1338.65,6534.22,2762.2,29.71251298887098,2712,2025-06-14,Shipped,Ahmed Shah,Islamabad,Pakistan,2025-06
125,9430,3,117.77,353.31,Running Shoes Pro 9430,Sports,78.8,122.71,236.39999999999998,116.91000000000003,33.089921032521026,9463,2026-08-14,Cancelled,Hassan Malik,London,UK,2026-08
126,7403,1,996.6,996.6,Hair Dryer Plus 7403,Beauty,890.55,1020.92,890.55,106.05000000000007,10.641180012040946,7971,2025-07-11,Shipped,Omar Hussain,London,UK,2025-07
127,9638,7,488.08,3416.56,Tablet Max 9638,Electronics,404.39,528.96,2830.73,585.8299999999999,17.146779216521878,5958,2023-03-18,Completed,Ahmed Ali,Islamabad,Pakistan,2023-03
128,3639,6,901.09,5406.54,Air Purifier Basic 3639,Home,840.18,1015.07,5041.08,365.46000000000004,6.759591161815136,2079,2025-08-26,Completed,Sara Malik,Faisalabad,Pakistan,2025-08
129,8593,5,1315.77,6578.85,Tablet Max 8593,Electronics,957.75,1424.61,4788.75,1790.1000000000004,27.209922706856066,3820,2023-10-14,Completed,Danish Mirza,Sukkur,Pakistan,2023-10
130,8609,2,2333.44,4666.88,Mouse Basic 8609,Electronics,1481.2,2404.93,2962.4,1704.48,36.52290181020296,4663,2025-02-17,Shipped,Ayesha Siddiqui,Hyderabad,Pakistan,2025-02
131,8606,2,47.02,94.04,Jacket Basic 8606,Fashion,40.91,51.07,81.82,12.220000000000013,12.994470438111454,9791,2025-01-15,Completed,Maryam Shah,Multan,Pakistan,2025-01
132,150,3,96.21,288.63,Jeans Premium 150,Fashion,70.97,107.96,212.91,75.72,26.23427918095832,3241,2022-10-26,Completed,Hira Chaudhry,Toronto,Canada,2022-10
133,9612,7,1163.01,8141.07,Mouse Premium 9612,Electronics,1040.63,1245.3,7284.410000000001,856.659999999999,10.522695419643844,8117,2023-05-02,Pending,Usman Raza,Rawalpindi,Pakistan,2023-05
134,5224,3,1520.95,4562.85,Programming Book Basic 5224,Books,1127.64,1779.46,3382.92,1179.9300000000003,25.859495709918146,2860,2022-10-29,Completed,Ali Siddiqui,Toronto,Canada,2022-10
135,2861,5,153.25,766.25,Hair Dryer Pro 2861,Beauty,122.42,159.42,612.1,154.14999999999998,20.11745513866231,1621,2022-04-26,Pending,Usman Shah,Sukkur,Pakistan,2022-04
136,7532,7,388.89,2722.23,Running Shoes Basic 7532,Sports,345.94,409.5,2421.58,300.6500000000001,11.044254159273834,7720,2024-04-27,Shipped,Fatima Siddiqui,New York,USA,2024-04
137,5227,5,1385.02,6925.1,Fan Basic 5227,Home,1181.86,1567.36,5909.299999999999,1015.8000000000011,14.668380239996551,886,2022-12-06,Shipped,Hamza Qureshi,Doha,Qatar,2022-12
